Brand,Out Date,Operating System,Weight,Series,Smartphone,Operating interface,RAM Capacity,CPU speed,CPU generation,Screen Size,Number of cores,Screen Resolution,pixels,FPS,Screen Type,Water resistance,Colors,GPU,Front camera,Camera,Fingerprint reader,WiFi,Min price,Max price,NFC,Bluetooth,Battery capacity,Page number
Samsung,2023,Android,234 גרם,Galaxy S23 Ultra,סמארטפון,מסך מגע,12GB,2000 2800 2800 3360 MHz,5,6.8 אינטש,3 + 2 + 2 + 1 ליבות,1440x3088 פיקסלים,501 ppi,120 Hz,Dynamic AMOLED 2X,IP68,"שחור, ירוק",ללא,12 מגה פיקסל,200 + 10 + 10 +12 מגה פיקסל,כולל,כולל,"4,007","4,925",אופציונאלי,5.3,"5,000 mAh",1
Apple,2022,iOS,240 גרם,iPhone 14 Pro Max,סמארטפון,מסך מגע,6GB,לא זמין,4,6.7 אינטש,לא זמין,1290x2796 פיקסלים,460 ppi,120 Hz,LTPO Super Retina XDR OLED,IP68,"שחור, סגול, כסוף, זהב",ללא,12 מגה פיקסל,48 + 12 + 12 צגה פיקסל,לא זמין,כולל,"4,907","6,449",כולל,5.3,לא זמין,1
Apple,2021,iOS,174 גרם,iPhone 13,סמארטפון,מסך מגע,4GB,יעודכן בקרוב,5,6.1 אינטש,2 + 4 ליבות,1170x2532 פיקסלים,460 ppi,לא זמין,Super Retina,IP68,"שחור, כחול, אדום, ורוד",ללא,12 מגה פיקסל,12 + 12 מגה פיקסלים,ללא,כולל,"2,835","3,699",כולל,5.0,לא זמין,1
Samsung,2022,Android,177 גרם,Galaxy S21,סמארטפון,מסך מגע,8GB,1800 2420 2840 MHz,4,6.4 אינטש,1 + 3 + 4,1080x2400 פיקסלים,411 ppi,120 Hz,Dynamic AMOLED 2X,IP68,"לבן, לבנדר, גרפיט, ירוק זית",ללא,32 מגה פיקסל,12 +8 + 12 מגה פיקסל,כולל,כולל,"1,444","2,529",כולל,כולל,"4,500 mAh",1
Samsung,2022,Android,181 גרם,Galaxy A73,סמארטפון,מסך מגע,8GB,1800 2400 MHz,4,6.7 אינטש,4 + 4 ליבות,1080x2400 פיקסלים,393 ppi,120 Hz,Super AMOLED Plus,IP67,"לבן, אפור",microSDXC,32 מגה פיקסל,108 + 12 + 5 + 5 מגה פיקסל,כולל,כולל,"1,372","2,200",אופציונאלי,5.0,"5,000 mAh",1
Xiaomi,2023,Android,181 גרם,Poco X5 Pro,סמארטפון,מסך מגע,8GB,1900 2200 2400 MHz,5,6.67 אינטש,4 + 3 + 1 ליבות,1080x2400 פיקסלים,395 ppi,120 Hz,Super AMOLED,IP53,שחור,ללא,16 מגה פיקסל,108 + 8 + 2 מגה פיקסל,כולל,כולל,"1,185","1,650",אופציונאלי,5.2,"5,000 mAh",1
Samsung,2023,Android,202 גרם,Galaxy A54,סמארטפון,מסך מגע,8GB,2000 2400 MHz,5,6.4 אינטש,4 + 4 ליבות,1080x2340 פיקסלים,403 ppi,120 Hz,Super AMOLED,IP67,"לבן, צהוב",microSDXC,32 מגה פיקסל,50 + 12 + 5 מגה פיקסל,כולל,כולל,"1,374","1,801",אופציונאלי,5.3,"5,000 mAh",1
Apple,2022,iOS,172 גרם,iPhone 14,סמארטפון,מסך מגע,4GB,1820 3230 MHz,4,6.1 אינטש,4 + 2 ליבות,1170x2532 פיקסלים,460 ppi,לא זמין,Super Retina XDR OLED,IP68,"כחול, סגול, אדום",ללא,12 מגה פיקסל,12 + 12 מגה פיקסלים,לא זמין,כולל,"3,013","3,899",כולל,5.3,לא זמין,1
Samsung,2022,Android,228 גרם,Galaxy S22,סמארטפון,מסך מגע,12GB,1700 2400 3000 MHz,4,6.8 אינטש,4 + 3 + 1 ליבות,1440x3088 פיקסלים,500 ppi,120 Hz,Dynamic AMOLED 2X,IP68,"שחור, לבן, אדום, ירוק, תכלת",ללא,40 מגה פיקסל,108 + 10 + 10 + 12 מגה פיקסל,כולל,כולל,"3,418","4,589",כולל,5.2,"5,000 mAh",1
Samsung,2023,Android,196 גרם,Galaxy S23 Plus,סמארטפון,מסך מגע,8GB,2000 2800 2800 3360 MHz,5,6.6 אינטש,3 + 2 + 2 + 1 ליבות,1080x2340 פיקסלים,390 ppi,120 Hz,Dynamic AMOLED 2X,IP68,"שחור, ירוק",ללא,12 מגה פיקסל,50 + 10 + 12 מגה פיקסל,כולל,כולל,"3,364","4,080",אופציונאלי,5.3,"4,700 mAh",1
